ID,正式名称,正式名称（フリガナ）,所在地,所在地座標（緯度）,所在地座標（経度）,案内用ホームページアドレス,月_就業時間帯1_開始時間,月_就業時間帯1_終了時間,火_就業時間帯1_開始時間,火_就業時間帯1_終了時間,水_就業時間帯1_開始時間,水_就業時間帯1_終了時間,木_就業時間帯1_開始時間,木_就業時間帯1_終了時間,金_就業時間帯1_開始時間,金_就業時間帯1_終了時間,土_就業時間帯1_開始時間,土_就業時間帯1_終了時間,日_就業時間帯1_開始時間,日_就業時間帯1_終了時間,祝_就業時間帯1_開始時間,祝_就業時間帯1_終了時間,月_就業時間帯2_開始時間,月_就業時間帯2_終了時間,火_就業時間帯2_開始時間,火_就業時間帯2_終了時間,水_就業時間帯2_開始時間,水_就業時間帯2_終了時間,木_就業時間帯2_開始時間,木_就業時間帯2_終了時間,金_就業時間帯2_開始時間,金_就業時間帯2_終了時間,土_就業時間帯2_開始時間,土_就業時間帯2_終了時間,日_就業時間帯2_開始時間,日_就業時間帯2_終了時間,祝_就業時間帯2_開始時間,祝_就業時間帯2_終了時間,月_就業時間帯3_開始時間,月_就業時間帯3_終了時間,火_就業時間帯3_開始時間,火_就業時間帯3_終了時間,水_就業時間帯3_開始時間,水_就業時間帯3_終了時間,木_就業時間帯3_開始時間,木_就業時間帯3_終了時間,金_就業時間帯3_開始時間,金_就業時間帯3_終了時間,土_就業時間帯3_開始時間,土_就業時間帯3_終了時間,日_就業時間帯3_開始時間,日_就業時間帯3_終了時間,祝_就業時間帯3_開始時間,祝_就業時間帯3_終了時間,月_外来受付時間帯1_開始時間,月_外来受付時間帯1_終了時間,火_外来受付時間帯1_開始時間,火_外来受付時間帯1_終了時間,水_外来受付時間帯1_開始時間,水_外来受付時間帯1_終了時間,木_外来受付時間帯1_開始時間,木_外来受付時間帯1_終了時間,金_外来受付時間帯1_開始時間,金_外来受付時間帯1_終了時間,土_外来受付時間帯1_開始時間,土_外来受付時間帯1_終了時間,日_外来受付時間帯1_開始時間,日_外来受付時間帯1_終了時間,祝_外来受付時間帯1_開始時間,祝_外来受付時間帯1_終了時間,月_外来受付時間帯2_開始時間,月_外来受付時間帯2_終了時間,火_外来受付時間帯2_開始時間,火_外来受付時間帯2_終了時間,水_外来受付時間帯2_開始時間,水_外来受付時間帯2_終了時間,木_外来受付時間帯2_開始時間,木_外来受付時間帯2_終了時間,金_外来受付時間帯2_開始時間,金_外来受付時間帯2_終了時間,土_外来受付時間帯2_開始時間,土_外来受付時間帯2_終了時間,日_外来受付時間帯2_開始時間,日_外来受付時間帯2_終了時間,祝_外来受付時間帯2_開始時間,祝_外来受付時間帯2_終了時間,月_外来受付時間帯3_開始時間,月_外来受付時間帯3_終了時間,火_外来受付時間帯3_開始時間,火_外来受付時間帯3_終了時間,水_外来受付時間帯3_開始時間,水_外来受付時間帯3_終了時間,木_外来受付時間帯3_開始時間,木_外来受付時間帯3_終了時間,金_外来受付時間帯3_開始時間,金_外来受付時間帯3_終了時間,土_外来受付時間帯3_開始時間,土_外来受付時間帯3_終了時間,日_外来受付時間帯3_開始時間,日_外来受付時間帯3_終了時間,祝_外来受付時間帯3_開始時間,祝_外来受付時間帯3_終了時間
1141125458000,産後ケア　ばぁばんちのこやど,サンゴケア　バァバンチノコヤド,埼玉県比企郡ときがわ町別所４２－５,36.006962,139.264572,,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,,,,,,,13:00,16:00,13:00,16:00,13:00,16:00,13:00,16:00,13:00,16:00,,,,,,,,,,,,,,,,,,,,,,,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,,,,,,,13:00,16:00,13:00,16:00,13:00,16:00,13:00,16:00,13:00,16:00,,,,,,,,,,,,,,,,,,,,,,
1141125528500,たかはし助産院,タカハシジョサンイン,埼玉県秩父郡長瀞町大字岩田８６５,36.132604,139.129178,,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,17:00,,,09:00,17:00,,,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141125610900,みその母乳育児相談室,ミソノボニュウイクジソウダンシツ,埼玉県さいたま市岩槻区美園東,35.906989,139.727091,misono-mother.com,09:00,10:00,09:00,10:00,09:00,10:00,09:00,10:00,09:00,10:00,09:00,10:00,09:00,10:00,09:00,10:00,11:00,12:00,11:00,12:00,11:00,12:00,11:00,12:00,11:00,12:00,11:00,12:00,11:00,12:00,11:00,12:00,13:00,17:00,13:00,17:00,13:00,17:00,13:00,17:00,13:00,17:00,13:00,17:00,13:00,17:00,13:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141125624900,助産院あおき／ばぁばのお家,ジョサンインアオキ／バァバノオウチ,埼玉県川越市新宿町１－２５－５２,35.902393,139.478123,house-of-baaba.jimdofree.com,09:00,13:00,09:00,13:00,09:00,13:00,09:00,13:00,09:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141125684200,菜生助産院,ナオジョサンイン,埼玉県秩父市道生町１４－１１,36.000454,139.082016,https://www.naojyosanin.com,08:30,17:00,08:30,17:00,,,08:30,17:00,,,,,08:30,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00,15:30,,,08:00,15:30,,,,,08:00,15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141125714800,ゆりかごｒｏｏｍそら（育児サポート）,ユリカゴルームソラ（イクジサポート）,埼玉県さいたま市緑区東浦和３－１２－１１,35.865609,139.698759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141126038600,ざくろの木助産院,ザクロノキジョサンイン,埼玉県久喜市栗橋東,36.131139,139.697667,https://www.zakuronokijyosanin.com,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,09:00,17:00,09:00,17:00,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141126045900,さくら助産院,サクラジョサンイン,埼玉県新座市栄,35.773037,139.581659,https://instagram.com/sakura.midwiferyhome?igshid=YmMyMTA2M2Y=,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141126057200,助産院　母魂,ジョサンインボコン,埼玉県春日部市不動院野１４８４ー２８,35.996136,139.770192,josanin-bocon.com,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141126148000,まちこ助産院,マチコジョサンイン,埼玉県さいたま市西区大字西遊馬１４９６番地８,35.911516,139.561846,http://jyosannmachiko.wixsite.com/mysite,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
